GeneIdx,PercentGeneCovered,AverageKMerDepth
>MEG_1015|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,1.348314606741573%,0.01348314606741573
>MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,16.30295250320924%,0.16302952503209242
>MEG_1017|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,9.392265193370166%,0.1425414364640884
>MEG_1018|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,14.033149171270717%,0.14033149171270717
>MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,20.320197044334975%,0.229064039408867
>MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,1.647058823529412%,0.01647058823529412
>MEG_1021|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,16.751269035532996%,0.16751269035532995
>MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,12.75%,0.21
>MEG_1023|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,1.625%,0.01625
>MEG_1024|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,3.0%,0.03
>MEG_1025|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.375%,0.00375
>MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,3.875%,0.03875
>MEG_1027|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,3.875%,0.03875
>MEG_1028|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,24.5%,0.26
>MEG_102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,28.235294117647058%,0.2823529411764706
>MEG_1030|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,3.375%,0.03375
>MEG_1031|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,16.25%,0.1625
>MEG_1032|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.62266500622665%,0.0062266500622665
>MEG_1033|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,16.936488169364882%,0.16936488169364883
>MEG_1035|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,12.836970474967908%,0.1514762516046213
>MEG_1036|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,15.228426395939088%,0.15228426395939088
>MEG_1039|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,1.1553273427471118%,0.011553273427471117
>MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,1.647058823529412%,0.01647058823529412
>MEG_1040|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.6418485237483954%,0.006418485237483954
>MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0.5037783375314862%,0.005037783375314861
>MEG_1042|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,1.643489254108723%,0.01643489254108723
>MEG_1043|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,3.6249999999999996%,0.03625
>MEG_1044|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,26.25%,0.29625
>MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,30.076142131979694%,0.30456852791878175
>MEG_1047|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,18.59872611464968%,0.1859872611464968
>MEG_1049|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,17.089452603471294%,0.17089452603471295
>MEG_104|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,27.764705882352942%,0.2776470588235294
>MEG_1050|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,2.5673940949935816%,0.025673940949935817
>MEG_1051|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,15.068493150684931%,0.16064757160647572
>MEG_1052|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,15.30740276035132%,0.15307402760351319
>MEG_1053|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,19.670050761421322%,0.20050761421319796
>MEG_1055|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,4.314720812182741%,0.044416243654822336
>MEG_1056|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,6.25%,0.0625
>MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,2.284263959390863%,0.02284263959390863
>MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,5.6722689075630255%,0.05672268907563025
>MEG_1059|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,1.29366106080207%,0.0129366106080207
>MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.452690166975881%,0.04452690166975881
>MEG_1060|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,15.796178343949045%,0.16178343949044585
>MEG_1061|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,25.25%,0.2975
>MEG_1062|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,21.02496714848883%,0.2102496714848883
>MEG_1063|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,1.963350785340314%,0.01963350785340314
>MEG_1064|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,4.492939666238768%,0.044929396662387676
>MEG_1065|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,18.19371727748691%,0.18193717277486912
>MEG_1066|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,4.822335025380711%,0.048223350253807105
>MEG_1067|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,16.878172588832488%,0.18781725888324874
>MEG_1068|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,1.8963337547408345%,0.018963337547408345
>MEG_1069|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0.9162303664921465%,0.009162303664921465
>MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,3.896103896103896%,0.03896103896103896
>MEG_1070|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,12.375%,0.1575
>MEG_1071|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,18.814432989690722%,0.18814432989690721
>MEG_1072|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,16.689280868385346%,0.16689280868385345
>MEG_1073|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,17.201540436456998%,0.20667522464698332
>MEG_1074|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,15.653298835705046%,0.18499353169469598
>MEG_1075|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,18.586387434554975%,0.18586387434554974
>MEG_1076|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,14.917825537294563%,0.14917825537294563
>MEG_1077|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,23.96486825595985%,0.30238393977415307
>MEG_1079|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,18.0%,0.18
>MEG_107|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.823529411764706%,0.02823529411764706
>MEG_1080|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,3.3376123234916557%,0.03337612323491656
>MEG_1082|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,0.7920792079207921%,0.007920792079207921
>MEG_1083|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH4,10.024057738572575%,0.10024057738572574
>MEG_1084|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,17.53958587088916%,0.1753958587088916
>MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,2.8014616321559074%,0.028014616321559074
>MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1.8270401948842874%,0.018270401948842874
>MEG_1087|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1.3398294762484775%,0.013398294762484775
>MEG_1088|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,0.7709251101321586%,0.007709251101321586
>MEG_1089|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,2.092511013215859%,0.02092511013215859
>MEG_108|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.588235294117647%,0.02588235294117647
>MEG_1090|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,2.781136638452237%,0.02781136638452237
>MEG_1091|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1.705237515225335%,0.018270401948842874
>MEG_1092|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1.6560509554140128%,0.016560509554140127
>MEG_1093|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,2.8634361233480177%,0.03303964757709251
>MEG_1094|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,13.876651982378855%,0.13876651982378854
>MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,3.2886723507917175%,0.03288672350791717
>MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,14.60122699386503%,0.1619631901840491
>MEG_1098|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH7-DPRIME,1.9328585961342828%,0.019328585961342827
>MEG_1099|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,3.0706243602865912%,0.030706243602865915
>MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,5.88235294117647%,0.058823529411764705
>MEG_1100|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,1.5353121801432956%,0.015353121801432957
>MEG_1101|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH9,12.040816326530612%,0.12040816326530612
>MEG_1102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|APMA,2.2249690976514214%,0.022249690976514216
>MEG_1105|Drugs|betalactams|Class_C_betalactamases|AQU,11.801242236024844%,0.11801242236024845
>MEG_1106|Drugs|betalactams|Class_C_betalactamases|AQU,1.412180052956752%,0.01412180052956752
>MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,30.677290836653388%,0.4701195219123506
>MEG_110|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,3.5294117647058822%,0.03529411764705882
>MEG_1110|Drugs|betalactams|Class_A_betalactamases|ARL,5.5222088835534215%,0.055222088835534214
>MEG_1111|Drugs|betalactams|Class_A_betalactamases|ARL,15.486194477791116%,0.15486194477791115
>MEG_1112|Drugs|betalactams|Class_A_betalactamases|ARL,0.12004801920768307%,0.0012004801920768306
>MEG_1113|Drugs|betalactams|Class_A_betalactamases|ARL,14.165666266506602%,0.14165666266506602
>MEG_1114|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,7.919254658385093%,0.07919254658385093
>MEG_1115|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,19.875776397515526%,0.2111801242236025
>MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,4.813664596273292%,0.04813664596273292
>MEG_1117|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,22.36024844720497%,0.37111801242236025
>MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,9.104477611940299%,0.10597014925373134
>MEG_1119|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,0.2985074626865672%,0.0029850746268656717
>MEG_1120|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|ARMA,16.094986807387862%,0.1741424802110818
>MEG_1121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ARMR,9.58904109589041%,0.0958904109589041
>MEG_1122|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA,2.0780537252914346%,0.020780537252914344
>MEG_1123|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,3.6613272311212817%,0.036613272311212815
>MEG_1124|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,6.178489702517163%,0.06178489702517163
>MEG_1125|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,2.9748283752860414%,0.032036613272311214
>MEG_1126|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,29.899497487437188%,0.2989949748743719
>MEG_1127|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,29.290617848970253%,0.32036613272311215
>MEG_1128|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,29.807692307692307%,0.2980769230769231
>MEG_1129|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,3.203661327231121%,0.032036613272311214
>MEG_112|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.823529411764706%,0.02823529411764706
>MEG_1130|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,4.576659038901601%,0.04576659038901602
>MEG_1131|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,4.118993135011442%,0.041189931350114416
>MEG_1132|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,1.1441647597254003%,0.016018306636155607
>MEG_1133|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,2.9748283752860414%,0.029748283752860413
>MEG_1134|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,16.247139588100687%,0.2929061784897025
>MEG_1135|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,3.6053130929791273%,0.036053130929791274
>MEG_1136|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,18.07780320366133%,0.3157894736842105
>MEG_1137|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,1.3729977116704806%,0.013729977116704805
>MEG_1139|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRA,0.43154178109062374%,0.004315417810906237
>MEG_113|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.470588235294118%,0.04470588235294118
>MEG_1140|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRA,4.472342094939192%,0.05766967438211063
>MEG_1141|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARRB,3.3381712626995643%,0.033381712626995644
>MEG_1142|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,0.9216589861751152%,0.009216589861751152
>MEG_1143|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,1.2096774193548387%,0.012096774193548387
>MEG_1144|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSA,1.3824884792626728%,0.013824884792626729
>MEG_1145|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,1.098901098901099%,0.01098901098901099
>MEG_1146|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,11.609756097560977%,0.11902439024390243
>MEG_1147|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,0.6829268292682927%,0.006829268292682927
>MEG_1148|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,1.0204081632653061%,0.01020408163265306
>MEG_1149|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,3.061224489795918%,0.03139717425431711
>MEG_114|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.976303317535545%,0.04976303317535545
>MEG_1150|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,2.197802197802198%,0.02197802197802198
>MEG_1151|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,0.7849293563579277%,0.007849293563579277
>MEG_1152|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,27.55281690140845%,0.3142605633802817
>MEG_1153|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,10.518053375196232%,0.10518053375196232
>MEG_1154|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0.7894736842105263%,0.007894736842105263
>MEG_1156|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,7.105263157894736%,0.07105263157894737
>MEG_1157|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,6.36604774535809%,0.0636604774535809
>MEG_1158|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,6.052631578947368%,0.060526315789473685
>MEG_1159|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,4.455445544554455%,0.04455445544554455
>MEG_115|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.739336492890995%,0.04739336492890995
>MEG_1160|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,11.052631578947368%,0.11052631578947368
>MEG_1162|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,3.6585365853658534%,0.036585365853658534
>MEG_1163|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,30.0%,0.3
>MEG_1164|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSCM,0.7317073170731708%,0.007317073170731708
>MEG_1165|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSD,34.00576368876081%,0.345821325648415
>MEG_1166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSDM,38.328530259366%,0.38328530259365995
>MEG_1167|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSH,17.276720351390924%,0.17276720351390923
>MEG_1168|Biocides|Naphthoquinone|Naphthoquinone_resistance_protein|ARSHN,6.2809917355371905%,0.0628099173553719
>MEG_1169|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSM,0.4784688995215311%,0.004784688995215311
>MEG_116|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0.7109004739336493%,0.0071090047393364926
>MEG_1170|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSP,2.682403433476395%,0.02682403433476395
>MEG_1171|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,57.692307692307686%,0.6982248520710059
>MEG_1172|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,34.437086092715234%,0.39403973509933776
>MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,2.6627218934911245%,0.026627218934911243
>MEG_1174|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,6.354515050167224%,0.06354515050167224
>MEG_1175|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,3.3444816053511706%,0.033444816053511704
>MEG_1176|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,6.804733727810651%,0.07100591715976332
>MEG_1177|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,36.3905325443787%,0.363905325443787
>MEG_1179|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,4.20353982300885%,0.07079646017699115
>MEG_117|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,28.90995260663507%,0.3104265402843602
>MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,7.399347116430903%,0.07399347116430903
>MEG_1181|Biocides|Acid_resistance|Acid_resistance_protein|ASR,43.75%,0.54375
>MEG_1182|Biocides|Acid_resistance|Acid_resistance_protein|ASR,1.3651877133105803%,0.013651877133105802
>MEG_1183|Drugs|betalactams|Class_A_betalactamases|AST,0.43620501635768816%,0.004362050163576881
>MEG_1184|Drugs|betalactams|Class_A_betalactamases|AXC,2.0431328036322363%,0.02043132803632236
>MEG_1186|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,10.689655172413794%,0.11379310344827587
>MEG_1188|Drugs|betalactams|Class_C_betalactamases|AZECL,3.982300884955752%,0.03982300884955752
>MEG_118|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,1.411764705882353%,0.01411764705882353
>MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,0.24813895781637718%,0.0024813895781637717
>MEG_1191|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,16.69024045261669%,0.1669024045261669
>MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,4.384724186704385%,0.04384724186704385
>MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,0.2881844380403458%,0.002881844380403458
>MEG_1194|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,9.654178674351584%,0.09654178674351585
>MEG_1195|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,0.5054151624548736%,0.005054151624548736
>MEG_1196|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BAHA,0.7579135086937138%,0.007579135086937138
>MEG_1198|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS,8.46262341325811%,0.0846262341325811
>MEG_1199|Drugs|betalactams|Class_D_betalactamases|BAT,3.286978508217446%,0.03286978508217446
>MEG_119|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.0%,0.04
>MEG_1200|Drugs|betalactams|Class_A_betalactamases|BBI,2.1134593993325916%,0.021134593993325918
>MEG_1201|Drugs|betalactams|Class_B_betalactamases|BC,16.243093922651934%,0.16243093922651933
>MEG_1202|Drugs|betalactams|Class_B_betalactamases|BCII,2.9023746701846966%,0.029023746701846966
>MEG_1203|Drugs|betalactams|Class_B_betalactamases|BCII,0.79155672823219%,0.0079155672823219
>MEG_1204|Drugs|betalactams|Class_B_betalactamases|BCII,19.867549668874172%,0.1986754966887417
>MEG_1205|Drugs|betalactams|Class_B_betalactamases|BCII,0.5298013245033113%,0.005298013245033113
>MEG_1206|Drugs|betalactams|Class_B_betalactamases|BCII,4.105960264900662%,0.04105960264900662
>MEG_1207|Drugs|betalactams|Class_A_betalactamases|BCL,3.3707865168539324%,0.033707865168539325
>MEG_1208|Drugs|betalactams|Class_A_betalactamases|BCL,3.524229074889868%,0.03634361233480176
>MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,1.4311270125223614%,0.014311270125223614
>MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,15.659574468085106%,0.2025531914893617
>MEG_1212|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR1,11.986588432523051%,0.11986588432523052
>MEG_1213|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRA,13.701657458563535%,0.13701657458563535
>MEG_1214|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRB,3.109656301145663%,0.031096563011456628
>MEG_1215|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRC,2.348993288590604%,0.02348993288590604
>MEG_1216|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,2.735562310030395%,0.02735562310030395
>MEG_1217|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,38.741721854304636%,0.46688741721854304
>MEG_1218|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,5.775075987841945%,0.057750759878419454
>MEG_1219|Drugs|betalactams|Class_A_betalactamases|BEL,0.4784688995215311%,0.004784688995215311
>MEG_1221|Drugs|betalactams|Class_A_betalactamases|BEL,3.4688995215311005%,0.03588516746411483
>MEG_1222|Drugs|betalactams|Class_A_betalactamases|BEL,14.114832535885165%,0.14114832535885166
>MEG_1223|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPC,2.4354243542435423%,0.024354243542435424
