Idx,GeneProbability/KmersHitsOnGene/KmersHitsOnAllGenes/KmersTotal,GeneAnnotation
@>MEG_70|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME_errorrate=0.2,0.25/30/30/135,>MEG_70|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME
@>MEG_71|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_72|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.97/30/30/135,>MEG_72|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@random_sequence,?/?/?/?,?
@>MEG_74|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,1.0/3/3/135,>MEG_74|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.2/11/11/135,>MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_76|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_77|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.95/10/10/135,>MEG_77|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.5/9/9/135,>MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_79|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.36/18/18/135,>MEG_79|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,0.63/118/118/134,>MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_81|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.5/2/2/135,>MEG_286|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_82|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_85|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.08/10/10/135,>MEG_138|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.09/3/3/135,>MEG_143|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@random_sequence,?/?/?/?,?
@>MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.5/2/2/135,>MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_89|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.37/9/9/135,>MEG_91|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@random_sequence,?/?/?/?,?
@>MEG_91|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_94|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,1.0/5/5/135,>MEG_94|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_95|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_96|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_97|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,0.2/118/118/134,>MEG_97|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_98|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.18/6/6/135,>MEG_164|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_99|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.27/4/4/135,>MEG_99|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@random_sequence,?/?/?/?,?
@>MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.04/17/18/135,>MEG_99|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,0.2/120/120/134,>MEG_102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.11/6/6/135,>MEG_150|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_104|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.04/3/3/135,>MEG_99|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.02/10/10/135,>MEG_301|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_107|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_110|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_112|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.32/8/10/135,>MEG_71|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_113|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_114|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.37/21/21/135,>MEG_114|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_115|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.3/9/9/135,>MEG_115|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_116|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.21/2/2/135,>MEG_117|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@random_sequence,?/?/?/?,?
@>MEG_118|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_121|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_122|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,1.0/3/3/135,>MEG_122|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_123|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.5/5/5/135,>MEG_123|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_124|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_125|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_126|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.36/7/7/135,>MEG_305|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@random_sequence,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_129|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_131|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,0.71/118/118/134,>MEG_131|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_132|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_133|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.36/5/6/135,>MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_135|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.5/5/5/135,>MEG_135|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_136|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@>MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,0.99/118/118/134,>MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_138|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.08/10/10/135,>MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@random_sequence,?/?/?/?,?
@>MEG_140|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,?/?/?/?,?
@random_sequence,?/?/?/?,?
@>MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,0.08/118/118/134,>MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_143|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.09/3/23/135,>MEG_152|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_144|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.08/11/11/135,>MEG_324|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_145|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,1.0/5/5/135,>MEG_145|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_146|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.36/7/7/135,>MEG_165|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.15/12/12/135,>MEG_153|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_148|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,?/?/?/?,?
@>MEG_149|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.42/10/10/135,>MEG_95|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_150|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.25/1/4/135,>MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3
@>MEG_151|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.16/8/8/135,>MEG_151|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_152|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,1.0/19/19/135,>MEG_152|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_153|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2_2pointsRearrangement,0.1/119/119/134,>MEG_153|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_154|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.05/8/8/135,>MEG_153|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
@>MEG_155|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME_errorrate=0.2,0.15/14/14/135,>MEG_153|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME
